ID,Year_Birth,Dt_Customer,Education,Marital_Status,Kidhome,Teenhome,Income,Income_Status,AcceptedCmp1,AcceptedCmp2,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp6,SuccessCampaign,Complain,MntFishProducts,MntMeatProducts,MntFruits,MntSweetProducts,MntWines,MntGoldProds,TotAmountSpent,NumWebVisitsMonth,NumDealsPurchases,NumCatalogPurchases,NumStorePurchases,NumWebPurchases,TotNumPurchase,Recency
2278,1985.0,2012-11-03,2n Cycle,Single,1,0,33812.0,Tier 3,0,0,0,0,0,0,0,0,30,19,17,24,4,39,133,6,2,1,3,2,6,86
9360,1982.0,2012-08-08,Graduation,Married,0,0,37040.0,Tier 3,0,0,0,0,0,0,0,0,69,73,2,38,86,48,316,8,1,2,5,4,8,41
5376,1979.0,2013-01-06,Graduation,Married,1,0,2447.0,Tier 3,0,0,0,0,0,0,0,0,1,1725,1,1,1,1,1730,1,15,28,0,0,43,42
1993,1949.0,2012-12-23,PhD,Married,0,1,58607.0,Tier 2,0,0,0,1,0,0,1,0,0,86,0,0,867,19,972,8,3,3,9,2,15,63
4047,1954.0,2014-01-11,PhD,Married,0,1,65324.0,Tier 1,0,0,0,0,0,0,0,0,21,102,0,32,384,5,544,4,3,2,9,6,14,0
1409,1951.0,2013-03-18,Graduation,Together,0,1,40689.0,Tier 2,0,0,0,0,0,0,0,0,39,27,3,6,270,99,444,8,7,1,5,7,13,69
7892,1969.0,2013-01-02,Graduation,Single,0,0,18589.0,Tier 3,0,0,0,0,0,0,0,0,15,25,4,12,6,13,75,7,2,1,3,2,6,89
2404,1976.0,2013-05-27,Graduation,Married,1,1,53359.0,Tier 2,0,0,0,0,0,0,0,0,3,30,4,6,173,41,257,7,4,1,4,5,9,4
5255,1986.0,2013-02-20,Graduation,Single,1,0,52247.25135379061,Tier 3,0,0,0,0,0,0,0,0,3,3,1,263,5,362,637,1,0,0,0,27,0,19
9422,1989.0,2013-05-31,Graduation,Married,1,0,38360.0,Tier 3,0,0,0,0,0,0,0,0,20,42,2,21,36,10,131,3,2,1,4,2,7,26
1966,1965.0,2013-11-22,PhD,Married,0,0,84618.0,Tier 1,0,0,0,0,1,0,1,0,21,801,100,66,684,0,1672,2,1,9,10,6,20,96
6864,1989.0,2014-05-22,Master,Divorced,0,0,10979.0,Tier 3,0,0,0,0,0,0,0,0,2,10,4,2,8,4,30,5,2,0,3,3,5,34
3033,1963.0,2013-05-11,Master,Together,0,0,38620.0,Tier 3,0,0,0,0,0,0,0,0,34,44,17,22,112,89,318,3,1,5,3,2,9,56
5710,1970.0,2012-10-10,Graduation,Together,0,1,40548.0,Tier 2,0,0,0,1,0,0,1,0,2,5,0,0,110,3,120,5,2,1,4,2,7,31
7373,1952.0,2012-10-29,PhD,Divorced,0,2,46610.0,Tier 2,0,0,0,0,0,1,1,0,33,96,12,22,96,43,302,6,6,1,6,4,13,8
8755,1946.0,2013-02-20,Master,Married,0,0,68657.0,Tier 1,0,0,0,0,0,0,0,0,119,471,34,68,482,22,1196,7,1,5,9,3,15,4
10738,1951.0,2013-08-29,Master,Single,1,1,49389.0,Tier 2,0,0,0,0,0,0,0,0,2,19,0,1,40,3,65,7,1,0,3,2,4,55
4339,1970.0,2013-12-31,PhD,Married,0,1,67353.0,Tier 1,0,0,0,0,0,0,0,0,0,151,17,8,702,35,913,2,5,6,12,5,23,37
10755,1976.0,2013-09-02,2n Cycle,Married,1,0,23718.0,Tier 3,0,0,0,0,0,0,0,0,15,14,3,7,6,36,81,7,3,1,2,3,6,76
8595,1973.0,2014-02-11,Graduation,Divorced,0,1,42429.0,Tier 2,0,0,0,0,0,0,0,0,2,6,0,0,55,4,67,5,2,1,3,1,6,99
2968,1943.0,2013-02-01,PhD,Divorced,0,0,48948.0,Tier 2,0,0,1,0,0,1,2,0,160,206,8,49,437,42,902,6,2,10,5,7,17,53
8601,1980.0,2013-04-29,Graduation,Married,0,1,80011.0,Tier 1,0,0,0,0,0,0,0,0,82,536,76,178,421,102,1395,4,2,6,5,8,13,3
503,1985.0,2013-03-12,Master,Married,1,0,20559.0,Tier 3,0,0,0,0,0,0,0,0,3,29,1,0,13,7,53,8,2,0,3,2,5,88
8430,1957.0,2012-12-24,Graduation,Together,0,1,21994.0,Tier 3,0,0,0,0,0,0,0,0,3,6,0,1,9,3,22,5,1,0,3,0,4,4
7281,1959.0,2013-11-05,PhD,Single,0,0,52247.25135379061,Tier 3,0,0,0,0,0,0,0,0,3,50,11,2,81,39,186,2,1,3,4,1,8,80
2139,1975.0,2013-10-02,Master,Married,1,0,7500.0,Tier 3,0,0,0,0,0,0,0,0,3,10,1,2,3,12,31,5,3,0,3,2,6,19
1371,1976.0,2014-06-28,Graduation,Single,0,0,79941.0,Tier 1,0,0,0,0,0,0,0,0,227,266,164,30,123,174,984,1,1,4,9,2,14,72
9909,1996.0,2012-11-09,2n Cycle,Married,0,0,7500.0,Tier 3,0,0,0,0,0,1,1,0,15,14,18,22,3,50,122,9,3,1,3,3,7,24
7286,1968.0,2013-05-24,Graduation,Together,1,0,41728.0,Tier 2,0,0,0,0,0,0,0,0,3,15,6,5,13,13,55,10,1,0,2,2,3,92
7244,1951.0,2014-01-01,Graduation,Single,2,1,52247.25135379061,Tier 3,0,0,0,0,0,0,0,0,6,48,5,10,48,7,124,6,3,1,4,2,8,96
6566,1954.0,2012-11-08,PhD,Married,1,1,72550.0,Tier 1,0,0,0,0,0,0,0,0,50,317,50,38,826,38,1319,8,9,2,12,5,23,39
8614,1957.0,2014-05-12,Graduation,Divorced,0,1,65486.0,Tier 1,0,0,0,0,0,0,0,0,37,125,19,67,245,14,507,2,1,2,10,4,13,29
4114,1964.0,2012-08-11,Master,Married,0,0,79143.0,Tier 1,0,0,0,0,0,0,0,0,27,780,37,167,650,32,1693,3,1,9,13,6,23,2
1331,1977.0,2013-01-02,Graduation,Single,1,0,35790.0,Tier 3,0,0,0,0,0,0,0,0,30,20,6,1,12,3,72,7,2,0,3,2,5,54
2225,1977.0,2014-06-07,Graduation,Divorced,0,0,82582.0,Tier 1,1,0,1,0,0,1,3,0,156,550,120,40,510,241,1617,1,1,9,7,4,17,54
9381,1978.0,2013-06-12,Graduation,Married,1,1,66373.0,Tier 1,0,0,0,0,0,0,0,0,12,124,9,24,328,109,606,3,7,2,10,4,19,57
6260,1955.0,2012-11-19,Master,Together,0,0,82384.0,Tier 1,0,0,0,0,1,1,2,0,180,432,51,120,984,190,1957,1,1,10,13,3,24,55
10383,1966.0,2013-04-02,Graduation,Divorced,0,0,70287.0,Tier 1,0,0,0,0,0,1,1,0,121,482,35,120,295,40,1093,3,1,5,10,5,16,30
7437,1988.0,2014-04-28,Graduation,Single,1,0,27938.0,Tier 3,0,0,0,0,0,0,0,0,2,8,0,1,13,5,29,3,1,0,4,1,5,31
8557,1982.0,2013-06-17,Graduation,Single,1,0,52247.25135379061,Tier 3,0,0,0,0,0,0,0,0,2,22,3,2,11,6,46,6,2,0,3,2,5,57
8375,1968.0,2014-03-03,PhD,Married,0,1,55954.0,Tier 2,0,0,0,0,0,0,0,0,0,28,0,0,447,43,518,7,3,2,6,8,11,63
6853,1982.0,2013-07-04,Master,Single,0,0,75777.0,Tier 1,0,0,0,1,1,1,3,0,69,538,26,13,712,80,1438,1,1,6,11,3,18,12
3076,1975.0,2012-09-07,Graduation,Together,1,1,66653.0,Tier 1,0,0,0,0,0,0,0,0,16,102,18,18,452,6,612,3,4,2,12,4,18,18
1012,1952.0,2013-02-18,Graduation,Single,0,1,61823.0,Tier 1,0,0,0,0,0,0,0,0,37,134,7,14,523,169,884,7,4,2,10,8,16,26
6518,1951.0,2013-06-11,PhD,Divorced,0,1,67680.0,Tier 1,0,0,0,0,0,0,0,0,0,48,0,6,546,6,606,5,1,3,8,7,12,8
4137,1948.0,2013-12-06,Graduation,Together,0,0,70666.0,Tier 1,0,0,0,0,0,0,0,0,119,367,40,122,398,30,1076,4,1,4,4,7,9,29
8082,1971.0,2013-05-21,Graduation,Married,1,0,25721.0,Tier 3,0,0,0,0,0,1,1,0,3,6,3,6,1,15,34,7,1,1,2,1,4,75
1386,1967.0,2014-05-11,Graduation,Together,1,1,32474.0,Tier 3,0,0,0,0,0,0,0,0,0,1,0,0,10,0,11,7,1,0,2,1,3,0
9369,1979.0,2014-03-19,2n Cycle,Single,0,1,88194.0,Tier 1,1,0,1,0,0,1,3,0,201,309,14,24,688,38,1274,5,1,10,10,11,21,19
4477,1958.0,2013-09-27,Graduation,Together,0,1,69096.0,Tier 1,0,0,0,0,0,0,0,0,7,159,49,82,247,109,653,4,1,2,10,5,13,4
1357,1970.0,2013-04-08,Graduation,Together,1,2,74854.0,Tier 1,0,0,0,0,0,0,0,0,58,487,59,29,856,73,1562,5,7,5,5,2,17,90
1402,1954.0,2012-09-11,Master,Married,0,0,66991.0,Tier 1,0,0,0,0,0,0,0,0,189,460,36,60,496,12,1253,3,3,8,6,4,17,1
10629,1973.0,2012-09-14,2n Cycle,Married,1,0,52247.25135379061,Tier 3,0,0,0,0,0,0,0,0,17,43,3,4,25,17,109,8,3,0,3,3,6,25
6312,1959.0,2013-03-17,Graduation,Married,0,1,65031.0,Tier 1,0,0,0,0,0,0,0,0,84,291,107,37,258,86,863,7,4,3,13,10,20,29
8132,1975.0,2013-04-05,PhD,Married,1,1,60631.0,Tier 1,0,0,0,1,0,0,1,0,0,65,6,6,565,19,661,7,5,2,8,9,15,88
1050,1952.0,2014-04-30,Graduation,Married,0,0,28332.0,Tier 3,0,0,0,0,0,0,0,0,4,13,10,15,14,9,65,2,1,1,4,2,6,58
5846,1977.0,2012-12-19,Graduation,Divorced,1,0,40246.0,Tier 2,0,0,0,0,0,0,0,0,2,6,1,1,2,1,13,6,1,0,2,1,3,68
1859,1972.0,2012-08-27,Master,Married,0,0,75251.0,Tier 1,0,0,0,0,0,1,1,0,97,925,111,18,721,18,1890,5,1,6,5,7,12,34
7503,1976.0,2012-10-12,Graduation,Single,0,0,75825.0,Tier 1,0,0,1,0,0,1,2,0,137,779,105,105,1032,51,2209,4,0,8,9,5,17,40
10401,1976.0,2013-09-04,2n Cycle,Together,0,0,26326.0,Tier 3,0,0,0,0,0,0,0,1,0,5,0,3,1,9,18,3,1,0,3,0,4,12
1618,1965.0,2013-01-02,Graduation,Together,0,0,56046.0,Tier 2,0,0,1,0,0,1,2,0,0,64,0,0,577,51,692,8,2,1,8,10,11,9
3332,1985.0,2012-08-29,Graduation,Single,1,0,29760.0,Tier 3,0,0,0,0,0,0,0,0,7,68,4,5,64,17,165,8,4,1,4,3,9,87
2261,1969.0,2013-06-23,Graduation,Married,1,0,26304.0,Tier 3,0,0,0,0,0,0,0,0,2,5,1,0,4,4,16,7,1,0,2,1,3,5
5346,1973.0,2013-07-03,2n Cycle,Married,1,0,23559.0,Tier 3,0,0,0,0,0,0,0,0,7,19,5,0,25,23,79,7,3,0,3,3,6,87
4119,1963.0,2013-05-11,Master,Together,0,0,38620.0,Tier 3,0,0,0,0,0,0,0,0,34,44,17,22,112,89,318,3,1,5,3,2,9,56
535,1987.0,2014-02-25,Graduation,Divorced,0,0,81361.0,Tier 1,0,0,0,0,0,0,0,0,27,424,23,65,163,76,778,1,1,10,13,3,24,18
5268,1960.0,2013-08-11,Graduation,Married,1,1,29440.0,Tier 3,0,0,0,0,0,0,0,0,10,14,8,4,17,3,56,7,2,0,4,1,6,95
273,1970.0,2013-07-16,Master,Married,1,1,36138.0,Tier 3,0,0,0,1,0,0,1,0,0,16,0,0,130,5,151,7,5,1,4,3,10,48
4452,1957.0,2014-05-28,Graduation,Single,0,1,50388.0,Tier 2,1,0,0,1,0,1,3,0,0,37,6,3,292,34,372,7,4,1,6,6,11,3
8504,1973.0,2014-05-12,Graduation,Married,0,0,79593.0,Tier 1,0,0,0,0,1,0,1,0,110,568,60,133,350,145,1366,2,1,6,7,5,14,70
771,1967.0,2014-01-21,Graduation,Together,0,1,54178.0,Tier 2,0,0,0,0,0,0,0,0,4,39,9,0,135,7,194,2,1,2,5,2,8,79
8996,1957.0,2012-11-19,PhD,Married,2,1,52247.25135379061,Tier 3,0,0,0,0,0,0,0,0,49,192,42,37,230,53,603,9,12,2,8,7,22,4
9235,1957.0,2014-05-27,Graduation,Single,1,1,52247.25135379061,Tier 3,0,0,0,0,0,0,0,0,2,8,0,0,7,1,18,7,1,0,2,1,3,45
5798,1973.0,2013-11-23,Master,Together,0,0,52247.25135379061,Tier 3,0,0,0,0,0,0,0,0,98,359,37,28,445,18,985,1,1,4,8,2,13,87
11178,1972.0,2014-03-23,Master,Single,1,0,42394.0,Tier 2,0,0,0,0,0,0,0,0,0,10,2,1,15,4,32,7,1,0,3,1,4,69
2230,1970.0,2014-05-24,PhD,Married,1,0,23626.0,Tier 3,0,0,0,0,0,0,0,0,0,14,2,0,27,0,43,5,3,1,3,3,7,84
7516,1983.0,2014-05-22,Graduation,Married,1,0,30096.0,Tier 3,0,0,0,0,0,0,0,0,12,11,3,5,5,9,45,6,1,0,3,2,4,30
7247,1960.0,2012-11-22,Graduation,Divorced,0,1,47916.0,Tier 2,0,0,0,1,0,0,1,0,0,26,0,0,505,75,606,6,5,4,6,7,15,72
11100,1972.0,2013-04-11,Graduation,Divorced,1,1,51813.0,Tier 2,0,0,0,0,0,0,0,0,0,7,2,1,51,2,63,7,2,0,3,2,5,37
4646,1951.0,2013-12-01,2n Cycle,Married,0,0,78497.0,Tier 1,1,0,0,0,0,0,1,0,75,447,26,0,207,223,978,2,1,7,12,5,20,44
3037,1983.0,2013-06-20,PhD,Married,0,0,50150.0,Tier 2,0,0,0,0,0,0,0,0,65,92,46,61,135,11,410,5,2,2,7,5,11,32
1473,1960.0,2013-07-23,2n Cycle,Single,0,1,47823.0,Tier 2,0,0,0,0,0,0,0,0,2,5,1,1,53,10,72,8,2,0,3,2,5,0
1016,1959.0,2014-03-30,PhD,Single,0,1,34554.0,Tier 3,0,0,0,0,0,0,0,0,2,6,1,0,41,5,55,6,2,0,3,2,5,43
4518,1979.0,2013-04-20,Graduation,Together,0,1,85693.0,Tier 1,0,0,0,0,0,0,0,0,185,183,172,132,386,111,1169,5,2,5,11,9,18,59
9370,1945.0,2013-05-17,PhD,Married,0,0,65846.0,Tier 1,0,0,0,0,0,0,0,0,80,276,81,40,562,81,1120,4,1,3,6,6,10,68
8908,1959.0,2014-05-08,Graduation,Married,0,0,87195.0,Tier 1,0,0,0,0,0,1,1,0,50,690,76,26,217,38,1097,1,1,11,5,3,17,35
8373,1979.0,2013-12-10,Basic,Together,1,0,24594.0,Tier 3,0,0,0,0,0,0,0,0,10,6,3,0,1,9,29,5,1,0,3,1,4,94
7533,1964.0,2013-09-24,Graduation,Married,1,1,49096.0,Tier 2,0,0,0,0,0,0,0,0,2,32,1,1,144,7,187,7,4,1,4,4,9,15
2683,1969.0,2013-02-02,Graduation,Married,0,2,52413.0,Tier 2,0,0,0,0,0,0,0,0,75,271,106,98,295,65,910,6,4,4,12,6,20,56
3629,1978.0,2012-12-19,Graduation,Single,1,0,38557.0,Tier 3,0,0,0,0,0,0,0,0,4,31,3,4,76,27,145,7,2,1,3,3,6,17
10991,1960.0,2012-12-07,Master,Married,0,0,89058.0,Tier 1,0,0,0,0,0,0,0,0,31,106,194,22,454,43,850,2,1,4,4,5,9,18
5077,1979.0,2013-11-02,Graduation,Together,0,1,77298.0,Tier 1,0,0,0,0,0,0,0,0,23,292,115,35,425,79,969,3,1,6,11,6,18,46
7431,1991.0,2012-11-10,PhD,Single,0,0,68126.0,Tier 1,0,0,0,1,0,1,2,0,23,311,17,51,1332,86,1820,9,1,4,5,7,10,40
3267,1963.0,2014-06-25,Master,Together,0,1,57288.0,Tier 2,0,0,0,1,0,0,1,0,0,21,0,0,527,60,608,6,3,1,8,8,12,27
999,1991.0,2013-01-02,Graduation,Single,0,0,86037.0,Tier 1,0,0,0,1,1,1,3,0,29,125,44,20,490,22,730,3,1,7,11,6,19,95
9215,1980.0,2012-12-12,PhD,Married,1,0,43974.0,Tier 2,0,0,0,0,0,0,0,0,0,101,0,0,378,72,551,7,5,4,6,6,15,19
2286,1962.0,2013-09-10,Graduation,Single,1,1,50785.0,Tier 2,0,0,0,0,0,0,0,0,0,21,1,1,64,27,114,6,2,1,3,2,6,27
1592,1970.0,2014-01-24,Graduation,Married,0,0,90765.0,Tier 1,1,0,0,0,1,0,2,0,151,812,99,82,547,33,1724,1,0,6,5,4,11,25
367,1978.0,2013-02-19,2n Cycle,Married,1,0,36550.0,Tier 3,0,0,0,0,0,0,0,0,123,94,90,103,47,120,577,9,5,1,5,9,11,74
5234,1967.0,2013-07-11,2n Cycle,Together,1,1,30753.0,Tier 3,0,0,0,0,0,0,0,0,0,25,5,9,12,30,81,5,2,1,3,1,6,85
9862,1969.0,2013-11-14,Graduation,Together,1,0,21918.0,Tier 3,0,0,0,0,0,0,0,0,11,7,6,5,1,3,33,6,2,0,3,2,5,37
9805,1953.0,2013-06-20,Master,Together,0,1,56129.0,Tier 2,0,0,0,0,0,0,0,0,39,133,48,72,320,48,660,4,4,2,10,6,16,65
6205,1967.0,2014-02-24,Master,Single,1,0,32557.0,Tier 3,0,0,0,0,0,1,1,0,0,29,3,4,34,10,80,5,3,1,3,2,7,13
8442,1985.0,2013-09-04,Master,Married,2,0,19510.0,Tier 3,0,0,0,0,0,0,0,0,3,7,0,4,9,7,30,7,2,0,3,1,5,63
7386,1976.0,2013-04-22,Graduation,Divorced,1,0,30992.0,Tier 3,0,0,0,0,0,0,0,0,7,14,0,3,17,2,43,7,1,0,3,1,4,83
7215,1983.0,2013-03-12,Graduation,Single,0,0,101970.0,Tier 1,1,0,0,1,1,1,4,0,44,102,27,72,722,168,1135,2,0,8,13,6,21,69
1491,1965.0,2013-02-18,2n Cycle,Together,0,0,71488.0,Tier 1,0,0,0,0,0,0,0,0,40,124,33,28,162,172,559,1,2,4,7,3,13,87
11071,1984.0,2013-04-21,Graduation,Single,0,0,79607.0,Tier 1,0,0,0,0,0,1,1,0,173,951,133,0,450,216,1923,1,1,6,6,3,13,37
3381,1953.0,2014-06-08,Master,Married,1,1,54348.0,Tier 2,0,0,0,0,0,0,0,0,0,16,0,0,70,4,90,6,2,0,4,2,6,51
8268,1961.0,2013-07-11,PhD,Married,0,1,52247.25135379061,Tier 3,0,0,0,0,0,0,0,0,10,27,0,0,352,15,404,6,3,1,7,6,11,23
11051,1956.0,2014-05-10,PhD,Together,1,1,77376.0,Tier 1,0,0,0,0,0,0,0,0,16,110,19,12,492,12,661,4,4,3,10,6,17,72
8026,1952.0,2013-09-30,Graduation,Married,0,1,62998.0,Tier 1,0,0,0,0,0,0,0,0,65,73,58,89,120,58,463,5,5,4,5,5,14,10
433,1958.0,2013-03-10,Master,Single,1,1,61331.0,Tier 1,0,0,0,0,0,0,0,0,0,47,5,5,534,41,632,8,5,1,6,11,12,42
9597,1969.0,2014-02-10,Graduation,Married,0,0,73448.0,Tier 1,0,0,0,0,0,0,0,0,23,189,106,41,236,130,725,4,1,2,9,7,12,10
1295,1963.0,2013-08-11,Graduation,Married,0,1,52247.25135379061,Tier 3,0,0,0,0,0,0,0,0,38,196,65,71,231,124,725,4,1,5,7,6,13,96
5290,1964.0,2013-08-14,PhD,Married,1,1,41551.0,Tier 2,0,0,0,0,0,0,0,0,3,33,0,0,220,23,279,8,5,1,5,5,11,51
1685,1967.0,2013-03-17,PhD,Together,0,0,62981.0,Tier 1,0,0,0,1,0,0,1,0,38,590,14,44,796,0,1482,3,1,5,13,4,19,21
5342,1976.0,2012-08-08,Basic,Divorced,1,0,9548.0,Tier 3,0,0,0,0,0,0,0,0,10,3,1,6,0,9,29,8,2,0,3,1,5,31
9579,1959.0,2013-07-07,PhD,Married,2,1,33762.0,Tier 3,0,0,0,0,0,0,0,0,2,34,1,0,53,16,106,8,3,2,2,2,7,61
7660,1973.0,2014-05-19,PhD,Single,1,1,35860.0,Tier 3,0,0,1,0,0,1,2,0,4,8,0,2,15,20,49,5,2,1,2,1,5,37
1461,1965.0,2013-07-28,PhD,Divorced,1,1,36921.0,Tier 3,0,0,0,0,0,0,0,0,3,12,1,1,17,4,38,7,2,0,3,2,5,74
821,1992.0,2012-10-19,Master,Single,0,0,92859.0,Tier 1,0,0,0,0,0,0,0,0,52,921,61,61,962,20,2077,2,1,4,12,5,17,46
11084,1976.0,2013-11-14,Master,Together,0,1,65104.0,Tier 1,0,0,0,0,0,1,1,0,13,232,0,20,738,50,1053,7,2,5,7,3,14,4
8690,1962.0,2013-04-19,Graduation,Married,0,0,86111.0,Tier 1,0,0,0,0,0,0,0,0,36,756,28,40,399,126,1385,2,1,7,10,5,18,73
2937,1974.0,2013-08-28,PhD,Single,0,1,68352.0,Tier 1,0,0,0,0,0,0,0,0,43,132,16,33,614,33,871,6,3,5,9,8,17,47
9701,1988.0,2013-03-19,Graduation,Together,1,0,41883.0,Tier 2,0,0,0,0,0,0,0,0,73,41,34,16,32,116,312,7,3,2,3,4,8,13
9949,1976.0,2012-10-18,Graduation,Married,0,2,59809.0,Tier 2,0,0,0,0,0,0,0,0,32,141,16,41,598,49,877,8,3,3,6,3,12,36
10837,1975.0,2012-10-28,Graduation,Married,1,0,23957.0,Tier 3,0,0,0,0,0,1,1,0,20,18,1,11,2,16,68,6,1,0,3,2,4,47
3120,1981.0,2013-08-28,Graduation,Together,1,0,38547.0,Tier 3,0,0,0,0,0,0,0,1,0,10,1,1,6,4,22,8,1,0,2,1,3,49
5885,1973.0,2012-08-22,2n Cycle,Married,2,1,35688.0,Tier 3,0,0,0,0,0,0,0,0,12,90,3,1,73,32,211,8,7,1,4,4,12,94
4050,1966.0,2014-06-21,Master,Married,0,0,49605.0,Tier 2,0,0,0,0,0,0,0,0,12,29,16,20,42,8,127,3,1,1,4,2,6,65
3830,1953.0,2014-04-24,Master,Married,0,2,59354.0,Tier 2,0,0,0,0,0,0,0,0,39,78,21,13,295,13,459,3,1,4,7,4,12,59
7987,1969.0,2014-03-07,Graduation,Married,0,1,65747.0,Tier 1,0,0,0,1,0,0,1,0,23,48,17,13,346,13,460,6,4,1,6,8,11,96
7798,1972.0,2012-12-14,2n Cycle,Together,0,1,46344.0,Tier 2,0,0,0,0,0,0,0,0,8,57,20,20,233,91,429,7,4,1,5,7,10,28
92,1988.0,2014-05-12,Graduation,Single,1,0,34176.0,Tier 3,0,0,0,0,0,0,0,0,19,24,7,14,5,20,89,6,4,0,4,3,8,12
7055,1952.0,2012-10-09,PhD,Together,0,1,61010.0,Tier 1,0,0,0,0,0,0,0,0,0,57,0,0,888,76,1021,5,2,5,11,8,18,57
10240,1949.0,2013-02-19,Graduation,Together,0,0,69372.0,Tier 1,0,0,0,1,1,1,3,0,34,269,26,13,997,42,1381,4,1,4,6,10,11,10
3025,1958.0,2013-07-08,Graduation,Single,0,1,49967.0,Tier 2,0,0,0,0,0,0,0,0,4,69,6,12,212,3,306,7,3,1,5,6,9,4
9283,1978.0,2013-09-12,Graduation,Single,1,2,60199.0,Tier 1,0,0,0,0,0,0,0,0,2,7,1,0,8,0,18,4,1,0,3,0,4,49
9970,1977.0,2013-10-17,Graduation,Together,0,1,55375.0,Tier 2,0,0,0,0,0,0,0,0,10,57,11,28,42,14,162,2,1,1,6,1,8,3
2730,1955.0,2013-08-20,Graduation,Single,0,0,80317.0,Tier 1,0,0,0,0,0,0,0,0,149,387,11,91,536,57,1231,1,1,4,10,3,15,64
2795,1958.0,2013-07-01,Master,Single,2,1,30523.0,Tier 3,0,0,0,0,0,0,0,0,0,3,0,0,5,5,13,7,1,0,2,1,3,0
9260,1945.0,2012-11-05,PhD,Married,0,0,70356.0,Tier 1,0,0,0,0,0,0,0,0,43,249,16,16,1349,33,1706,6,2,6,9,10,17,20
8182,1984.0,2014-01-05,Graduation,Married,1,0,23228.0,Tier 3,0,0,0,0,0,0,0,0,7,49,3,4,53,5,121,8,4,0,4,3,8,91
10095,1975.0,2013-05-01,PhD,Divorced,0,0,74165.0,Tier 1,0,0,0,0,0,0,0,0,16,240,12,12,1001,12,1293,2,1,4,10,5,15,9
